Edad;Genero;Comunidad;curso;centro_cod;horas_uso_pantallas_cod;mom_uso_pantallas;n_freq;Aplicaciones_frecuentes;n_aplic;uso_pant;num_activ;uso_apps;uso_pant_asig;n_asign_pantallas;herra_tec_tec_ayuda_aprend;decide_uso_tec;clases_mas_gustan_tec;facil_prof_joven;participacion_clase;usar_tec_aprendo_loquegusta;eleccion_aprend
9;1;6;2;10;4;25;1;413;7;259;4;3;568;0;2;0;3;4;1;0;2
9;1;6;2;10;4;25;1;723;7;57;4;4;244;3;3;2;4;2;4;3;4
9;1;2;2;5;3;25;1;923;1;344;1;4;343;9;4;4;4;4;4;4;4
9;1;2;2;5;3;25;1;923;1;344;1;4;343;9;2;0;4;0;4;4;4
10;1;13;2;5;1;25;1;828;2;129;3;4;110;1;3;4;4;4;4;4;4
9;1;13;2;5;1;25;1;236;9;267;4;3;372;6;0;0;2;1;4;0;0
9;1;13;2;5;1;25;1;141;6;69;6;4;276;3;4;2;3;3;4;3;4
9;1;13;2;5;1;1;1;889;2;316;3;4;275;2;4;4;4;2;4;1;4
9;1;13;2;5;1;25;1;393;6;105;6;3;321;8;3;0;3;2;2;3;1
9;1;13;2;5;2;25;1;384;11;63;7;4;371;5;3;3;2;4;4;3;4
9;1;13;2;5;2;25;1;526;7;68;5;4;74;3;4;4;4;4;4;4;4
9;1;13;2;5;2;6;2;97;10;197;6;4;455;3;3;3;4;3;3;4;4
9;1;13;2;5;3;10;2;708;7;66;3;4;294;4;4;0;3;3;4;4;4
10;1;13;2;5;4;4;4;870;4;89;5;4;357;10;4;1;4;3;2;4;4
9;1;13;2;5;4;25;1;270;8;151;4;3;365;6;2;2;4;1;3;4;4
9;1;13;2;5;4;25;1;131;11;214;5;4;294;4;4;3;3;3;2;4;4
9;1;13;2;5;4;25;1;265;10;151;4;3;480;8;3;2;4;1;2;4;4
9;1;13;2;5;4;8;1;198;8;67;4;4;481;7;2;2;3;2;2;2;3
9;1;13;2;5;4;10;2;759;7;106;7;4;372;6;4;3;4;4;4;4;4
9;1;13;2;5;1;25;1;757;5;274;5;1;434;4;3;0;4;1;0;4;4
9;1;13;2;5;1;25;1;766;3;45;2;3;249;3;3;0;3;0;0;3;3
9;1;13;2;5;1;26;2;914;2;168;3;4;249;3;3;0;4;0;0;4;4
9;1;13;2;5;1;25;1;767;4;297;3;3;368;7;3;0;4;0;0;4;4
